company,year,units_sold,avg_price,revenue
Apple,2019,17637378,852.11,15028986167.58
Apple,2020,21287389,835.81,17792212600.09
Apple,2021,26369284,876.92,23123752525.28
Apple,2022,25952171,937.47,24329381747.37
Apple,2023,30873079,998.0,30811332842.0
Apple,2024,35459999,1012.68,35909631787.32
Apple,2025,41556167,998.04,41474716912.68
Samsung,2019,15044511,643.24,9677231255.64
Samsung,2020,16299093,627.21,10222954120.53
Samsung,2021,14722388,635.39,9354458111.32
Samsung,2022,15128842,683.75,10344345717.5
Samsung,2023,15883995,712.91,11323858875.45
Samsung,2024,14630853,700.68,10251546080.04
Samsung,2025,14491654,745.44,10802658557.76
Xiaomi,2019,17375590,506.75,8805080232.5
Xiaomi,2020,18928826,512.46,9700266171.96
Xiaomi,2021,21031665,550.54,11578772849.1
Xiaomi,2022,20875805,593.26,12384780074.3
Xiaomi,2023,23430194,574.5,13460646453.0
Xiaomi,2024,24344696,601.55,14644551878.8
Xiaomi,2025,27525054,637.18,17538413907.72
Vivo,2019,13128244,814.22,10689278829.68
Vivo,2020,14430120,874.19,12614666602.8
Vivo,2021,16315063,840.4,13711178945.2
Vivo,2022,17488514,854.4,14942186361.6
Vivo,2023,18795041,901.36,16941098155.76
Vivo,2024,22575660,913.39,20620382087.4
Vivo,2025,23866450,928.16,22151884232.0
Oppo,2019,10756689,659.6,7095112064.4
Oppo,2020,12617904,688.38,8685912755.52
Oppo,2021,15153372,707.65,10723283695.8
Oppo,2022,18631718,695.16,12952025084.88
Oppo,2023,19677575,708.65,13944513523.75
Oppo,2024,25766974,749.38,19309254976.12
Oppo,2025,30355341,739.34,22442917814.94
OnePlus,2019,7595074,337.01,2559615888.74
OnePlus,2020,8113993,363.48,2949274175.64
OnePlus,2021,7836330,351.92,2757761253.6
OnePlus,2022,7294916,354.61,2586850162.76
OnePlus,2023,7871268,367.06,2889227632.08
OnePlus,2024,7563963,380.45,2877709723.35
OnePlus,2025,8146814,401.39,3270049671.46
Google,2019,3134773,620.91,1946411903.43
Google,2020,2912137,633.82,1845770673.34
Google,2021,3097276,626.37,1940040768.12
Google,2022,3282056,670.37,2200191880.72
Google,2023,3147295,708.03,2228379278.85
Google,2024,3099985,686.04,2126713709.4
Google,2025,2835838,715.5,2029042089.0
Realme,2019,12208691,889.51,10859752731.41
Realme,2020,14670275,907.68,13315915212.0
Realme,2021,14041196,937.16,13158847243.36
Realme,2022,17209989,955.45,16443283990.05
Realme,2023,17882906,954.46,17068518460.76
Realme,2024,18442901,1011.41,18653334500.41
Realme,2025,19326254,1062.07,20525834585.78
